name,description,Level,School,Components,DamageType,CastingTime,Range,Save
Summon Construct,"4th-Level Conjuration Casting Time : 1 action Rang e: 90 feet Components: V, S, M (an ornate stone and metal lockbox worth at least 400 gp) Duration : Concentration, up to 1 hour You call forth the spirit of a construct. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Construct Spirit stat block. When you cast the spell, choose a material: Clay, Metal, or Stone. The creature resembles a golem or a modron (your choice) made of the chosen material, which determines certain traits in its stat block. The creature disappears when it drops to 0 hit points or when the spell ends. The creature is an ally to you and your companions. In combat, the creature shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its move to avoid danger. At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, use the higher level wherever the spell's level appears in the stat block.",4,Conjuration,"V, S, M",,1 action,90 feet,
Summon Draconic Spirit,"5th-Level Conjuration Casting Time : 1 action Rang e: 60 feet Components: V, S, M (an object with the image of a dragon engraved on it, worth at least 500 gp) Duration : Concentration, up to 1 hour You call forth a Draconic Spirit . It manifests in an unoccupied space that you can see within range. This corporeal form uses the Draconic Spirit stat block. When you cast this spell, choose a family of dragon: chromatic, gem, or metallic. The creature resembles a dragon of the chosen family, which determines certain traits in its stat block. The creature disappears when it drops to 0 hit points or when the spell ends. The creature is an ally to you and your companions. In combat, the creature shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its move to avoid danger. At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, use the higher level wherever the spell's level appears in the stat block.",5,Conjuration,"V, S, M",,1 action,,
Summon Dragon,"Level 5 Conjuration (Wizard) Casting Time: Action Range: 60 feet Components: V, S, M (an object with the image of a dragon engraved on it worth 500+ GP) Duration: Concentration, up to 1 hour You call forth a Dragon spirit. It manifests in an unoccupied space that you can see within range and uses the Draconic Spirit stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends. The creature is an ally to you and your allies . In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its movement to avoid danger. Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block.",5,Conjuration,V S M,,Action,,
Summon Elemental,"4th-Level Conjuration Casting Time : 1 action Rang e: 90 feet Components: V, S, M (air, a pebble, ash, and water inside a gold-inlaid vial worth at least 400 gp) Duration : Concentration, up to 1 hour You call forth an elemental spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Elemental Spirit stat block. When you cast the spell, choose an element: Air, Earth, Fire, or Water. The creature resembles a bipedal form wreathed in the chosen element, which determines certain traits in its stat block. The creature disappears when it drops to 0 hit points or when the spell ends. The creature is an ally to you and your companions. In combat, the creature shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its move to avoid danger. At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, use the higher level wherever the spell's level appears in the stat block.",4,Conjuration,"V, S, M",,1 action,90 feet,
Summon Fey,"3rd-Level Conjuration Casting Time : 1 action Rang e: 9 0 feet Components: V, S, M (a gilded flower worth at least 300 gp) Duration : Concentration, up to 1 hour You call forth a fey spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Fey Spirit stat block. When you cast the spell, choose a mood: Fuming, Mirthful, or Tricksy. The creature resembles a fey creature of your choice marked by the chosen mood, which determines one of the traits in its stat block. The creature disappears when it drops to 0 hit points or when the spell ends. The creature is an ally to you and your companions. In combat, the creature shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its move to avoid danger. At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, use the higher level wherever the spell's level appears in the stat block.",3,Conjuration,"V, S, M",,1 action,90 feet,
Summon Fiend,"6th-Level Conjuration Casting Time : 1 action Rang e: 90 feet Components: V, S, M (humanoid blood inside a ruby vial worth at least 600 gp) Duration : Concentration, up to 1 hour You call forth a fiendish spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Fiendish Spirit stat block. When you cast the spell, choose Demon, Devil, or Yugoloth. The creature resembles a fiend of the chosen type, which determines certain traits in its stat block. The creature disappears when it drops to 0 hit points or when the spell ends. The creature is an ally to you and your companions. In combat, the creature shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its move to avoid danger. At Higher Levels. When you cast this spell using a spell slot of 7th level or higher, use the higher level wherever the spell's level appears in the stat block.",6,Conjuration,"V, S, M",,1 action,,
Summon Greater Demon,"4th-Level Conjuration Casting Time : 1 action Rang e: 60 feet Components: V, S, M (a vial of blood from a humanoid killed within the past 24 hours) Duration : Concentration, up to 1 hour You utter foul words, summoning one demon from the chaos of the Abyss. You choose the demon’s type, which must be one of challenge rating 5 or lower, such as a shadow demon or a barlgura . The demon appears in an unoccupied space you can see within range, and the demon disappears when it drops to 0 hit points or when the spell ends. Roll initiative for the demon, which has its own turns. When you summon it and on each of your turns thereafter, you can issue a verbal command to it (requiring no action on your part), telling it what it must do on its next turn. If you issue no command, it spends its turn attacking any creature within reach that has attacked it. At the end of each of the demon’s turns, it makes a Charisma saving throw. The demon has disadvantage on this saving throw if you say its true name. On a failed save, the demon continues to obey you. On a successful save, your control of the demon ends for the rest of the duration, and the demon spends its turns pursuing and attacking the nearest non-demons to the best of its ability. If you stop concentrating on the spell before it reaches its full duration, an uncontrolled demon doesn’t disappear for 1d6 rounds if it still has hit points. As part of casting the spell, you can form a circle on the ground with the blood used as a material component. The circle is large enough to encompass your space. While the spell lasts, the summoned demon can’t cross the circle or harm it, and it can’t target anyone within it. Using the material component in this manner consumes it when the spell ends. At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, the challenge rating increases by 1 for each slot level above 4th.",4,Conjuration,V S M,,1 action,60 feet,
Summon Lesser Demons,"3rd-Level Conjuration Casting Time : 1 action Rang e: 60 feet Components: V, S, M (a vial of blood from a humanoid killed within the past 24 hours) Duration : Concentration, up to 1 hour You utter foul words, summoning demons from the chaos of the Abyss. Roll on the following table to determine what appears. d6 Demons Summoned 1-2 Two demons of challenge rating 1 or lower 3-4 Four demons of challenge rating 1/2 or lower 5-6 Eight demons of challenge rating 1/4 or lower The DM chooses the demons, such as manes or dretches , and you choose the unoccupied spaces you can see within range where they appear. A summoned demon disappears when it drops to 0 hit points or when the spell ends. The demons are hostile to all creatures, including you. Roll initiative for the summoned demons as a group, which has its own turns. The demons pursue and attack the nearest non-demons to the best of their ability. As part of casting the spell, you can form a circle on the ground with the blood used as a material component. The circle is large enough to encompass your space. While the spell lasts, the summoned demons can’t cross the circle or harm it, and they can’t target anyone within it. Using the material component in this manner consumes it when the spell ends. At Higher Levels. When you cast this spell using a spell slot of 6th or 7th level, you summon twice as many demons. If you cast it using a spell slot of 8th or 9th level, you summon three times as many demons.",3,Conjuration,V S M,,1 action,60 feet,
Summon Shadowspawn,"3rd-Level Conjuration Casting Time : 1 action Rang e: 90 feet Components: V, S, M (tears inside a gem worth at least 300 gp) Duration : Concentration, up to 1 hour You call forth a shadowy spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Shadow Spirit stat block. When you cast the spell, choose an emotion: Fury, Despair, or Fear. The creature resembles a misshapen biped marked by the chosen emotion, which determines certain traits in its stat block. The creature disappears when it drops to 0 hit points or when the spell ends. The creature is an ally to you and your companions. In combat, the creature shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its move to avoid danger. At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, use the higher level wherever the spell's level appears in the stat block.",3,Conjuration,"V, S, M",,1 action,90 feet,
Summon Undead,"3rd-Level Necromancy Casting Time : 1 action Rang e: 90 feet Components: V, S, M (a gilded skull worth at least 300 gp) Duration : Concentration, up to 1 hour You call forth an undead spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Undead Spirit stat block. When you cast the spell, choose the creature's form: Ghostly, Putrid, or Skeletal. The spirit resembles an undead creature with the chosen form, which determines certain traits in its stat block. The creature disappears when it drops to 0 hit points or when the spell ends. The creature is an ally to you and your companions. In combat, the creature shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its move to avoid danger. At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, use the higher level wherever the spell's level appears in the stat block.",3,Necromancy,"V, S, M",,1 action,90 feet,
Sunbeam,"Level 6 Evocation (Cleric, Druid, Sorcerer, Wizard) Casting Time: Action Range: Self Components: V, S, M (a magnifying glass) Duration: Concentration, up to 1 minute You launch a sunbeam in a 5-foot-wide, 60-foot-long Line . Each creature in the Line makes a Constitution saving throw . On a failed save , a creature takes 6d8 Radiant damage and has the Blinded condition until the start of your next turn. On a successful save , it takes half as much damage only. Until the spell ends, you can take a Magic action to create a new Line of radiance. For the duration, a mote of brilliant radiance shines above you. It sheds Bright Light in a 30-foot radius and Dim Light for an additional 30 feet. This light is sunlight.",6,Evocation,V S M,Radiant,Action,Self (60 ft long ⇧),Constitution
Sunburst,"Level 8 Evocation (Cleric, Druid, Sorcerer, Wizard) Casting Time: Action Range: 150 feet Components: V, S, M (a piece of sunstone) Duration: Instantaneous Brilliant sunlight flashes in a 60-foot-radius Sphere centered on a point you choose within range. Each creature in the Sphere makes a Constitution saving throw . On a failed save , a creature takes 12d6 Radiant damage and has the Blinded condition for 1 minute. On a successful save , it takes half as much damage only. A creature Blinded by this spell makes another Constitution saving throw at the end of each of its turns, ending the effect on itself on a success. This spell dispels Darkness in its area that was created by any spell.",8,Evocation,V S M,Radiant,Action,150 ft (60 ft radius ○),Constitution
Swift Quiver,"Level 5 Transmutation (Ranger) Casting Time: Bonus Action Range: Self Components: V, S, M (a Quiver worth 1+ GP) Duration: Concentration, up to 1 minute When you cast the spell and as a Bonus Action until it ends, you can make two attacks with a weapon that fires Arrows or Bolts , such as a Longbow or a Light Crossbow . The spell magically creates the ammunition needed for each attack. Each Arrow or Bolt created by the spell deals damage like a nonmagical piece of ammunition of its kind and disintegrates immediately after it hits or misses.",5,Transmutation,V S M,,Bonus Action,,
Sword Burst,"Conjuration Cantrip Casting Time : 1 action Rang e: Self (5-foot radius) Components: V Duration : Instantaneous You create a momentary circle of spectral blades that sweep around you. All other creatures within 5 feet of you must each succeed on a Dexterity saving throw or take 1d6 force damage. This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",0,Conjuration,V,Force,1 action,Self (5 ft ○),Dexterity
Symbol,"Level 7 Abjuration (Bard, Cleric, Druid, Wizard) Casting Time: 1 minute Range: Touch Components: V, S, M (powdered diamond worth 1,000+ GP, which the spell consumes) Duration: Until dispelled or triggered You inscribe a harmful glyph either on a surface (such as a section of floor or wall) or within an object that can be closed (such as a book or chest). The glyph can cover an area no larger than 10 feet in diameter. If you choose an object , it must remain in place; if it is moved more than 10 feet from where you cast this spell, the glyph is broken, and the spell ends without being triggered. The glyph is nearly imperceptible and requires a successful Wisdom (Perception) check against your spell save DC to notice. When you inscribe the glyph, you set its trigger and choose which effect the symbol bears: Death, Discord, Fear, Pain, Sleep, or Stunning. Each one is explained below. Set the Trigger. You decide what triggers the glyph when you cast the spell. For glyphs inscribed on a surface, common triggers include touching or stepping on the glyph, removing another object covering it, or approaching within a certain distance of it. For glyphs inscribed within an object , common triggers include opening that object or seeing the glyph. You can refine the trigger so that only creatures of certain types activate it (for example, the glyph could be set to affect Aberrations ). You can also set conditions for creatures that don’t trigger the glyph, such as those who say a certain password. Once triggered, the glyph glows, filling a 60-foot-radius Sphere with Dim Light for 10 minutes, after which time the spell ends. Each creature in the Sphere when the glyph activates is targeted by its effect, as is a creature that enters the Sphere for the first time on a turn or ends its turn there. A creature is targeted only once per turn. Death. Each target makes a Constitution saving throw , taking 10d10 Necrotic damage on a failed save or half as much damage on a successful save . Discord. Each target makes a Wisdom saving throw . On a failed save , a target argues with other creatures for 1 minute. During this time, it is incapable of meaningful communication and has Disadvantage on attack rolls and ability checks . Fear. Each target must succeed on a Wisdom saving throw or have the Frightened condition for 1 minute. While Frightened , the target must move at least 30 feet away from the glyph on each of its turns, if able. Pain. Each target must succeed on a Constitution saving throw or have the Incapacitated condition for 1 minute. Sleep. Each target must succeed on a Wisdom saving throw or have the Unconscious condition for 10 minutes. A creature awakens if it takes damage or if someone takes an action to shake it awake. Stunning. Each target must succeed on a Wisdom saving throw or have the Stunned condition for 1 minute.",7,Abjuration,V S M,Necrotic,1 minute,Touch (60 ft radius ○),Constitution
Synaptic Static,"5th-Level Enchantment Casting Time : 1 action Rang e: 120 feet Components: V, S Duration : Instantaneous You choose a point within range and cause psychic energy to explode there. Each creature in a 20-foot-radius sphere centered on that point must make an Intelligence saving throw. A creature with an Intelligence score of 2 or lower can’t be affected by this spell. A target takes 8d6 psychic damage on a failed save, or half as much damage on a successful one. After a failed save, a target has muddled thoughts for 1 minute. During that time, it rolls a d6 and subtracts the number rolled from all its attack rolls and ability checks, as well as its Constitution saving throws to maintain concentration. The target can make an Intelligence saving throw at the end of each of its turns, ending the effect on itself on a success.",5,Enchantment,V S,Psychic,1 action,120 feet,Intelligence
Tasha's Bubbling Cauldron,"Level 6 Conjuration (Warlock, Wizard) Casting Time: Action Range: 5 feet Component: V, S, M (a gilded ladle worth 500+ GP) Duration: 10 minutes You conjure a claw-footed cauldron filled with bubbling liquid. The cauldron appears in an unoccupied space on the ground within 5 feet of you and lasts for the duration. The cauldron can’t be moved and disappears when the spell ends, along with the bubbling liquid inside it. The liquid in the cauldron duplicates the properties of a Common or an Uncommon potion of your choice (such as a Potion of Healing ). As a Bonus Action , you or an ally can reach into the cauldron and withdraw one potion of that kind. The potion is contained in a vial that disappears when the potion is consumed. The cauldron can produce a number of these potions equal to your spellcasting ability modifier (minimum 1). When the last of these potions is withdrawn from the cauldron, the cauldron disappears, and the spell ends. Potions obtained from the cauldron that aren’t consumed disappear when you cast this spell again.",6,Conjuration,V S M,,Action,,
Tasha's Caustic Brew,"1st-Level Evocation Casting Time : 1 action Rang e: Self (30-f00t line) Components: V, S, M (a bit of rotten food) Duration : Concentration, up to 1 minute A stream of acid emanates from you in a line 30 feet long and 5 feet wide in a direction you choose. Each creature in the line must succeed on a Dexterity saving throw or be covered in acid for the spell's duration or until a creature uses its action to scrape or wash the acid off itself or another creature. A creature covered in the acid takes 2d4 acid damage at start of each of its turns. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 2d4 for each slot level above 1st.",1,Evocation,"V, S, M",Acid,1 action,,Dexterity
Tasha's Hideous Laughter,"Level 1 Enchantment (Bard, Warlock, Wizard) Casting Time: Action Range: 30 feet Components: V, S, M (a tart and a feather) Duration: Concentration, up to 1 minute One creature of your choice that you can see within range makes a Wisdom saving throw . On a failed save, it has the Prone and Incapacitated conditions for the duration. During that time, it laughs uncontrollably if it’s capable of laughter, and it can’t end the Prone condition on itself. At the end of each of its turns and each time it takes damage , it makes another Wisdom saving throw . The target has Advantage on the save if the save is triggered by damage. On a successful save, the spell ends. Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level about 1.",1,Enchantment,V S M,,Action,,Wisdom
Tasha's Mind Whip,"2nd-Level Enchantment Casting Time : 1 action Rang e: 9 0 feet Components: V Duration : 1 round You psychically lash out at one creature you can see within range. The target must make an Intelligence saving throw. On a failed save, the target takes 3d6 psychic damage, and it can't take a reaction until the end of its next turn. Moreover, on its next turn, it must choose whether it gets a move, an action, or a bonus action; it gets only one of the three. On a successful save, the target takes half as much damage and suffers none of the spell's other effects. At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd. The creatures must be within 30 feet of each other when you target them.",2,Enchantment,V,Psychic,1 action,,Intelligence
Tasha's Otherworldly Guise,"6th-Level Transmutation Casting Time : 1 bonus action Rang e: Self Components: V, S, M (an object engraved with a symbol of the Outer Planes, worth at least 500 gp) Duration : Concentration, up to 1 minute Uttering an incantation, you draw on the magic of the Lower Planes or Upper Planes (your choice) to transform yourself. You gain the following benefits until the spell ends: You are immune to fire and poison damage (Lower Planes) or radiant and necrotic damage (Upper Planes). You are immune to the poisoned condition (Lower Planes) or the charmed condition (Upper Planes). Spectral wings appear on your back, giving you a flying speed of 40 feet. You have a +2 bonus to AC. All your weapon attacks are magical, and when you make a weapon attack, you can use your spellcasting ability modifier, instead of Strength or Dexterity, for the attack and damage rolls. You can attack twice, instead of once, when you take the Attack action on your turn. You ignore this benefit if you already have a feature, like Extra Attack, that lets you attack more than once when you take the Attack action on your turn.",6,Transmutation,"V, S, M",,1 bonus action,Self,
Telekinesis,"Level 5 Transmutation (Sorcerer, Wizard) Casting Time: Action Range: 60 feet Components: V, S Duration: Concentration, up to 10 minutes You gain the ability to move or manipulate creatures or objects by thought. When you cast the spell and as a Magic action on your later turns before the spell ends, you can exert your will on one creature or object that you can see within range, causing the appropriate effect below. You can affect the same target round after round or choose a new one at any time. If you switch targets, the prior target is no longer affected by the spell. Creature. You can try to move a Huge or smaller creature . The target must succeed on a Strength saving throw , or you move it up to 30 feet in any direction within the spell’s range. Until the end of your next turn, the creature has the Restrained condition, and if you lift it into the air, it is suspended there. It falls at the end of your next turn unless you use this option on it again and it fails the save. Object. You can try to move a Huge or smaller object . If the object isn’t being worn or carried, you automatically move it up to 30 feet in any direction within the spell’s range. If the object is worn or carried by a creature, that creature must succeed on a Strength saving throw , or you pull the object away and move it up to 30 feet in any direction within the spell’s range. You can exert fine control on objects with your telekinetic grip, such as manipulating a simple tool, opening a door or a container, stowing or retrieving an item from an open container, or pouring the contents from a vial.",5,Transmutation,V S,,Action,,Strength
Telepathy,"Level 8 Divination (Wizard) Casting Time: Action Range: Unlimited Components: V, S, M (a pair of linked silver rings) Duration: 24 hours You create a telepathic link between yourself and a willing creature with which you are familiar. The creature can be anywhere on the same plane of existence as you. The spell ends if you or the target are no longer on the same plane. Until the spell ends, you and the target can instantly share words, images, sounds, and other sensory messages with each other through the link, and the target recognizes you as the creature it is communicating with. The spell enables a creature to understand the meaning of your words and any sensory messages you send to it.",8,Divination,V S M,,Action,,
Teleport,"Level 7 Conjuration (Bard, Sorcerer, Wizard) Casting Time: Action Range: 10 feet Components: V Duration: Instantaneous This spell instantly transports you and up to eight willing creatures that you can see within range, or a single object that you can see within range, to a destination you select. If you target an object, it must be Large or smaller, and it can’t be held or carried by an unwilling creature. The destination you choose must be known to you, and it must be on the same plane of existence as you. Your familiarity with the destination determines whether you arrive there successfully. The DM rolls 1d100 and consults the Teleportation Outcome table and the explanations after it. Teleportation Outcome Familiarity Mishap Similar Area Off Target On Target Permanent circle — — — 01–00 Linked object — — — 01–00 Very familiar 01–05 06–13 14–24 25–00 Seen casually 01–33 34–43 44–53 54–00 Viewed once or described 01–43 44–53 54–73 74–00 False destination 01–50 51–00 — — Familiarity. Here are the meanings of the terms in the table’s Familiarity column: “Permanent circle” means a permanent teleportation circle whose sigil sequence you know. “Linked object” means you possess an object taken from the desired destination within the last six months, such as a book from a wizard’s library. “Very familiar” is a place you have visited often, a place you have carefully studied, or a place you can see when you cast the spell. “Seen casually” is a place you have seen more than once but with which you aren’t very familiar. “Viewed once or described” is a place you have seen once, possibly using magic, or a place you know through someone else’s description, perhaps from a map. “False destination” is a place that doesn’t exist. Perhaps you tried to scry an enemy’s sanctum but instead viewed an illusion, or you are attempting to teleport to a location that no longer exists. Mishap. The spell’s unpredictable magic results in a difficult journey. Each teleporting creature (or the target object) takes 3d10 Force damage , and the DM rerolls on the table to see where you wind up (multiple mishaps can occur, dealing damage each time). Similar Area. You and your group (or the target object) appear in a different area that’s visually or thematically similar to the target area. You appear in the closest similar place. If you are heading for your home laboratory, for example, you might appear in another person’s laboratory in the same city. Off Target. You and your group (or the target object) appear 2d12 miles away from the destination in a random direction. Roll 1d8 for the direction: 1, east; 2, southeast; 3, south; 4, southwest; 5, west; 6, northwest; 7, north; or 8, northeast. On Target. You and your group (or the target object) appear where you intended.",7,Conjuration,V,,Action,,
Teleportation Circle,"Level 5 Conjuration (Bard, Sorcerer, Warlock, Wizard) Casting Time: 1 minute Range: 10 feet Components: V, M (rare inks worth 50+ GP, which the spell consumes) Duration: 1 round As you cast the spell, you draw a 5-foot-radius circle on the ground inscribed with sigils that link your location to a permanent teleportation circle of your choice whose sigil sequence you know and that is on the same plane of existence as you. A shimmering portal opens within the circle you drew and remains open until the end of your next turn. Any creature that enters the portal instantly appears within 5 feet of the destination circle or in the nearest unoccupied space if that space is occupied. Many major temples, guildhalls, and other important places have permanent teleportation circles. Each circle includes a unique sigil sequence—a string of runes arranged in a particular pattern. When you first gain the ability to cast this spell, you learn the sigil sequences for two destinations on the Material Plane , determined by the DM. You might learn additional sigil sequences during your adventures. You can commit a new sigil sequence to memory after studying it for 1 minute. You can create a permanent teleportation circle by casting this spell in the same location every day for 365 days.",5,Conjuration,V M,,1 minute,,
Temple of the Gods,"7th-Level Conjuration Casting Time : 1 hour Rang e: 120 feet Components: V, S, M (a holy symbol worth at least 5 gp) Duration : 24 hours You cause a temple to shimmer into existence on ground you can see within range. The temple must fit within an unoccupied cube of space, up to 120 feet on each side. The temple remains until the spell ends. It is dedicated to whatever god, pantheon, or philosophy is represented by the holy symbol used in the casting. You make all decisions about the temple’s appearance. The interior is enclosed by a floor, walls, and a roof, with one door granting access to the interior and as many windows as you wish. Only you and any creatures you designate when you cast the spell can open or close the door. The temple’s interior is an open space with an idol or altar at one end. You decide whether the temple is illuminated and whether that illumination is bright light or dim light. The smell of burning incense fills the air within, and the temperature is mild. The temple opposes types of creatures you choose when you cast this spell. Choose one or more of the following: celestials , elementals , fey , fiends , or undead . If a creature of the chosen type attempts to enter the temple, that creature must make a Charisma saving throw. On a failed save, it can’t enter the temple for 24 hours. Even if the creature can enter the temple, the magic there hinders it; whenever it makes an attack roll, an ability check, or a saving throw inside the temple, it must roll a d4 and subtract the number rolled from the d20 roll. In addition, the sensors created by divination spells can’t appear inside the temple, and creatures within can’t be targeted by divination spells. Finally, whenever any creature in the temple regains hit points from a spell of 1st level or higher, the creature regains additional hit points equal to your Wisdom modifier (minimum 1 hit point). The temple is made from opaque magical force that extends into the Ethereal Plane, thus blocking ethereal travel into the temple’s interior. Nothing can physically pass through the temple’s exterior. It can’t be dispelled by dispel magic , and antimagic field has no effect on it. A disintegrate spell destroys the temple instantly. Casting this spell on the same spot every day for a year makes this effect permanent.",7,Conjuration,V S M,,1 hour,120 feet,
Temporal Shunt,"5th-level transmutation Casting Time: 1 reaction, taken when a creature you can see makes an attack roll or starts to cast a spell Range : 120 feet Compon ents: V, S Duratio n: 1 round You target the triggering creature, which must succeed on a Wisdom saving throw or vanish, being thrown to another point in time and causing the attack to miss or the spell to be wasted. At the start of its next turn, the target reappears where it was or in the closest unoccupied space. The target doesn’t remember you casting the spell or being affected by it. At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, you can target one additional creature for each slot level above 5th. All targets must be within 30 feet of each other.",5,Transmutation,"V, S",,"1 reaction, taken when a creature you can see makes an attack roll or starts to cast a spell",,Wisdom
Tenser's Floating Disk,"Level 1 Conjuration (Wizard) Casting Time: Action or Ritual Range: 30 feet Components: V, S, M (a drop of mercury) Duration: 1 hour This spell creates a circular, horizontal plane of force, 3 feet in diameter and 1 inch thick, that floats 3 feet above the ground in an unoccupied space of your choice that you can see within range. The disk remains for the duration and can hold up to 500 pounds. If more weight is placed on it, the spell ends, and everything on the disk falls to the ground. The disk is immobile while you are within 20 feet of it. If you move more than 20 feet away from it, the disk follows you so that it remains within 20 feet of you. It can move across uneven terrain, up or down stairs, slopes and the like, but it can’t cross an elevation change of 10 feet or more. For example, the disk can’t move across a 10-foot-deep pit, nor could it leave such a pit if it was created at the bottom. If you move more than 100 feet from the disk (typically because it can’t move around an obstacle to follow you), the spell ends.",1,Conjuration,V S M,,Action or Ritual,,
Tenser's Transformation,"6th-Level Transmutation Casting Time : 1 action Rang e: Self Components: V, S, M (a few hairs from a bull) Duration : Concentration, up to 10 minutes You endow yourself with endurance and martial prowess fueled by magic. Until the spell ends, you can’t cast spells, and you gain the following benefits: You gain 50 temporary hit points. If any of these remain when the spell ends, they are lost. You have advantage on attack rolls that you make with simple and martial weapons. When you hit a target with a weapon attack, that target takes an extra 2d12 force damage. You have proficiency with all armor, shields, simple weapons, and martial weapons. You have proficiency in Strength and Constitution saving throws. You can attack twice, instead of once, when you take the Attack action on your turn. You ignore this benefit if you already have a feature, like Extra Attack, that gives you extra attacks. Immediately after the spell ends, you must succeed on a DC 15 Constitution saving throw or suffer one level of exhaustion.",6,Transmutation,V S M,,1 action,Self,
Tether Essence,"7th-level necromancy Casting Time : 1 action Rang e: 60 feet Components: V, S, M (a spool of platinum cord worth at least 250 gp, which the spell consumes) Duration: Concentration, up to 1 hour Two creatures you can see within range must make a Constitution saving throw, with disadvantage if they are within 30 feet of each other. Either creature can willingly fail the save. If either save succeeds, the spell has no effect. If both saves fail, the creatures are magically linked for the duration, regardless of the distance between them. When damage is dealt to one of them, the same damage is dealt to the other one. If hit points are restored to one of them, the same number of hit points are restored to the other one. If either of the tethered creatures is reduced to 0 hit points, the spell ends on both. If the spell ends on one creature, it ends on both.",7,Necromancy,"V, S, M",,1 action,60 feet,Constitution
Thaumaturgy,"Transmutation Cantrip Casting Time : 1 action Rang e: 30 feet Components: V Duration : Up to 1 minute You manifest a minor wonder, a sign of supernatural power, within range. You create one of the following magical effects within range: Your voice booms up to three times as loud as normal for 1 minute. You cause flames to flicker, brighten, dim, or change color for 1 minute. You cause harmless tremors in the ground for 1 minute. You create an instantaneous⁠ sound that originates from a point of your choice within range, such as a rumble of thunder, the cry of a raven, or ominous whispers. You instantaneously cause an unlocked door or window to fly open or slam shut. You alter the appearance of your eyes for 1 minute. If you cast this spell multiple times, you can have up to three of its 1-minute effects active at a time, and you can dismiss such an effect as an action.",0,Transmutation,V,,1 action,,
Thorn Whip,"Transmutation Cantrip (Druid) Casting Time: Action Range: 30 feet Components: V, S, M (the stem of a thorny plant) Duration: Instantaneous You create a vine-like whip covered in thorns that lashes out at your command toward a creature in range. Make a melee spell attack against the target. On a hit, the target takes 1d6 Piercing damage , and if it is Large or smaller, you can pull it up to 10 feet closer to you. Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6).",0,Transmutation,V S M,Piercing,Action,,
Thunder Step,"3rd-Level Conjuration Casting Time : 1 action Rang e: 90 feet Components: V Duration : Instantaneous You teleport yourself to an unoccupied space you can see within range. Immediately after you disappear, a thunderous boom sounds, and each creature within 10 feet of the space you left must make a Constitution saving throw, taking 3d10 thunder damage on a failed save, or half as much damage on a successful one. The thunder can be heard from up to 300 feet away. You can bring along objects as long as their weight doesn’t exceed what you can carry. You can also teleport one willing creature of your size or smaller who is carrying gear up to its carrying capacity. The creature must be within 5 feet of you when you cast this spell, and there must be an unoccupied space within 5 feet of your destination space for the creature to appear in; otherwise, the creature is left behind. At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d10 for each slot level above 3rd.",3,Conjuration,V,Thunder,1 action,90 feet,Constitution
Thunderclap,"Evocation Cantrip Casting Time : 1 action Rang e: Self (5-foot radius) Components: S Duration : Instantaneous You create a burst of thunderous sound, which can be heard 100 feet away. Each creature other than you within 5 feet of you must make a Constitution saving throw. On a failed save, the creature takes 1d6 thunder damage. The spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",0,Evocation,S,Thunder,1 action,Self (5 ft ○),Constitution
