name,description,Type,Rarity,Attunement,Properties
The Codicil of White,"The Codicil of White is a tall, thin volume bound in white ermine fur over seasoned boards of white pine and sealed with a clasp and lock of tarnished silver. The book is cold to the touch, and the fur is worn about the edges from use. The twenty-seven pages within are of vellum painted with silver gilt on the outer edges. The whole is sewn to a leather binding with strips of sinews, making it quite durable. A creature with the codicil in its possession has resistance to cold damage. The codicil was written by followers of Auril as a primer on her worship. The first page is a title page with the snowflake symbol of Auril on it. The remaining pages describe various priestly rituals and ceremonies in chilling detail. Nestled among these descriptions is a spell that wizards can learn (frost fingers) and a poem called “Rime of the Frostmaiden”. The poem is an incantation, the power of which can be used to split a glacier (see chapter 6). The poem might have other capabilities, at your discretion.",,,,
The Incantations of Iriolarthas,"The Incantations of Iriolarthas is a weighty spellbook. Its black leather covers have dead, toothy worms glued to them, sheathed in glossy varnish. Set into this morbid display on the front cover is a gold rune that resembles a stylized eye with a pupil shaped like a candle flame—the sigil of Iriolarthas, a Netherese lich. The book contains sixty pages of brittle yellow vellum. Written on these pages are the following wizard spells: 1st level: alarm, detect magic, identify, magic missile, shield, Tasha’s hideous laughter, thunderwave 2nd level: arcane lock, continual flame, invisibility, knock, levitate, Melf’s acid arrow, mirror image 3rd level: animate dead, bestow curse, clairvoyance, counterspell, dispel magic, fireball, glyph of warding 4th level: arcane eye, banishment, blight, dimension door, Evard’s black tentacles, phantasmal killer 5th level: Bigby’s hand, cloudkill, dominate person, planar binding, scrying, telekinesis 6th level: create undead, disintegrate, globe of invulnerability, move earth, Otto’s irresistible dance 7th level: create magen,* finger of death, prismatic spray, teleport 8th level: demiplane, dominate monster, mind blank, power word stun 9th level: blade of disaster,* power word kill",,,,
Thelarr,"Thelarr Musical instrument Also known as a whistlecane, a simple and easy-to-make wind instrument cut from a reed. They are so simple, in fact, that skilled bards frequently make and give them away to children—to the parents’ delight or regret.",Tool,,,
Thermal Cube,This 3-inch cube of solid brimstone generates enough dry heat to keep the temperature within 15 feet of it at 95 degrees Fahrenheit (35 degrees Celsius).,Wondrous item,Common,,
Thieves' Tools,"Thieves' Tools Tools This set of tools includes a small file, a set of lock picks, a small mirror mounted on a metal handle, a set of narrow-bladed scissors, and a pair of pliers. Proficiency with these tools lets you add your proficiency bonus to any ability checks you make to disarm traps or open locks. Weight: 1",Adventuring Gear,Standard,,
Third Rod Piece,"Rod, Artifact Eons ago, a war between the primordials and the gods scarred the planes of existence. A demon lord named Miska the Wolf-Spider eventually pushed the primordials’ enemies to the brink of annihilation. Desperate to save themselves and their allies, powerful elemental beings called the Wind Dukes of Aaqa rose against Miska. Committed to the concept of law, the Wind Dukes descended from a people called the vaati, who once ruled many worlds. Seven Wind Dukes wove their power into an artifact called the Rod of Law . The dukes used the rod to imprison Miska on the plane of Pandemonium. As a result, the rod shattered into seven parts that were scattered throughout the multiverse. The rod thus became known as the Rod of Se ven Parts . Possessing the Broken Rod. The rod can’t be attuned to while it is broken. While holding one piece of the broken rod, you know the general location of the next consecutive piece, as the rod yearns to be a complete artifact. Multiple rod pieces can be assembled into one piece or disassembled again, each requiring an action, although a partially complete rod doesn’t gain any other abilities. Additionally, while holding one piece of the broken rod, you can use an action to cast the spell associated with that piece, as listed below. Once that piece of the rod has been used to cast a spell, it can’t be used that way again until the next dawn. Rod Piece Spell Third Reverse Gravity (spell save DC 18)",Rod,Artifact,,
Three-Dragon Ante Set,"Tool (Gaming Set) Ability: Wisdom Weight: — Cost: 1 GP Utilize: Discern whether someone is cheating (DC 10), or win the game (DC 20)",Tool,None,,
Thunderbuss,"Thunderbuss Ranged weapon (firearm, pistol), very rare This magic ranged weapon is a flared pistol with the storm rune engraved along the barrel. You gain a +1 bonus to attack and damage rolls made with it. It requires no ammunition, its damage is thunder instead of piercing, and it doesn’t have the loading property. Invoking the Rune. As a bonus action, you can invoke the weapon’s rune to launch a ball of energy to a point you can see within 30 feet of yourself. The energy then detonates into a 10-foot-radius sphere of turbulent wind and thunder centered on that point, and each creature in that sphere must make a DC 14 Constitution saving throw. On a failed save, a creature takes 3d6 thunder damage, and it can’t take reactions until the end of your next turn. On a successful save, a creature takes half as much damage only. Once the rune has been invoked, it can’t be invoked again until the next dawn. Damage: 1d10 Damage Type: thunder Modifiers: Ranged Attacks +1, Ranged Damage +1 Range: 30/90 Weight: 3",Ranged Weapon,very rare,,
Thunderous Greatclub,"Weapon (Greatclub), Very Rare (Requires Attunement) While you are attuned to this magic weapon, your Strength is 20 unless your Strength is already equal to or greater than that score. The weapon deals an extra 1d8 Thunder damage to any creature it hits and an extra 3d8 Thunder damage to objects it hits that aren’t being worn or carried. The weapon has the following additional properties. Clap of Thunder. As a Magic action, you can strike the weapon against a hard surface to create a loud clap of thunder audible out to 300 feet. You also create a 30-foot Cone of thunderous energy. Each creature in the Cone must succeed on a DC 15 Strength saving throw or have the Prone condition. Nonmagical objects in the Cone that aren’t being worn or carried take 3d8 Thunder damage. Earthquake. As a Magic action, you can strike the weapon against the ground to create an intense seismic disturbance in a 50-foot-radius circle centered on the point of impact. Structures in contact with the ground in that area take 50 Bludgeoning damage, and each creature on the ground in that area must succeed on a DC 20 Dexterity saving throw or have the Prone condition. If that creature is also concentrating, it must succeed on a DC 20 Constitution saving throw or its Concentration is broken. In addition, you can cause a 30-foot-deep, 10-foot-wide fissure to open up on the ground anywhere in the area. Any creature on a spot where the fissure opens must succeed on a DC 20 Dexterity saving throw, falling into the fissure on a failed save or moving with the fissure’s edge on a successful one. Any structure on a spot where the fissure opens collapses into the fissure. Once you use this property, it can’t be used again until the next dawn.",simple,Yes,,Two-Handed
Tidecaller Trident,"Tidecaller Trident Melee weapon (martial, trident), Very Rare (Requires Attunement) You gain a +2 bonus to attack and damage rolls made with this magic trident. You also have advantage on attack rolls made with this weapon while underwater. This trident has 3 charges. You can expend 1 charge to cast Control Water (save DC 15) from the trident or 3 charges to cast Tsunami (save DC 15) from it instead. The trident regains 1d3 expended charges daily at dawn. Range. A weapon that can be used to make a ranged attack has a range in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon’s normal range in feet, and the second indicates the weapon’s long range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can’t attack a target beyond the weapon’s long range. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack. Damage: 1d6+2 (1d8+2) Damage Type: Piercing Properties: Range, Thrown, Versatile Range: 20/60 Weight: 4",Melee Weapon,Very Rare,requires attunement,"Range, Thrown, Versatile"
Timepiece of Travel,"Timepiece of Travel Requires attunement While attuned to this device, you have a +1 bonus to Dexterity saving throws and you always know which way is north. Additionally, you can cast the longstrider spell on yourself at will. Turn-by-Turn Directions. You can name any location within 10 miles of your current location that is known to at least one creature also within 10 miles of that location (including you). Once you name the location, a disembodied voice heard only by you provides directions to the location by the safest, most direct route. The voice knows to avoid natural hazards, so that it does not send you through trackless wilderness or into a lake. But it has no knowledge of or ability to help you avoid monsters, enemies, traps, locked doors, and the like. The timepiece is of no use for reaching locations that are wholly secret or not known to any creatures within range. Once you use this feature of the timepiece of travel , it cannot be used again until the next dawn. Get Away From It All. As an action, you can cast the teleport spell. Once you use this feature of the timepiece of trave l, it cannot be used again until the next dawn. Part of a Whole. While this component is not installed in the Orrery of the Wanderer , its magic might function sporadically or with unpredictable side effects, as determined by the DM.",Adventuring Gear,very rare,,
Tinderbox,"Tinderbox Adventuring gear This small container holds flint, fire steel, and tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a torch - or anything else with abundant, exposed fuel - takes an action. Lighting any other fire takes 1 minute. Weight: 1",Adventuring Gear,Standard,,
Tinderstrike,"Tinderstrike Weapon (dagger), legendary (requires attunement) A flint dagger, Tinderstrike is uncommonly sharp, and sparks cascade off its edge whenever it strikes something solid. Its handle is always warm to the touch, and the blade smolders for 1d4 minutes after it is used to deal damage. It contains a spark of Imix, Prince of Evil Fire. You gain a +2 bonus to attack and damage rolls you make with this magic weapon. When you hit with it, the target takes an extra 2d6 fire damage. Fire Mastery. You gain the following benefits while you hold Tinderstrike : You can speak Ignan fluently. You have resistance to fire damage. You can cast dominate monster (save DC 17) on a fire elemental. Once you have done so, Tinderstrike can’t be used this way again until the next dawn. Dance of the All-Consuming Fire. While inside a fire node, you can perform a ritual called the Dance of the All-Consuming Fire, using Tinderstrike to create a devastation orb of fire (see the devastation orb description for the time and cost of the ritual). Once you perform the ritual, Tinderstrike can’t be used to perform the ritual again until the next dawn. Flaw. Tinderstrike makes its wielder impatient and rash. While attuned to the weapon, you gain the following flaw: “I act without thinking and take risks without weighing the consequences.” Elemental Weapons Each of the four prophets who leads a cult of Elemental Evil is armed with a mighty elemental weapon. These potent objects are infused with the essences of the Princes of Elemental Evil. In addition to the weapon’s obvious usefulness in battle, they serve as keys that allow the prophets to channel the power of the elemental nodes and rip open the boundary between the planes. The weapons also bring out the worst in their wielders, twisting their minds toward evil ends. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Range. A weapon that can be used to make a ranged attack has a range in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's long range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Damage: 1d4+2 Damage Type: Piercing Secondary Damage : 2d6 Secondary Damage Type : Fire Properties: Finesse, Light, Range, Thrown Range: 20/60 Weight: 1",Weapon,legendary,requires attunement,"Finesse, Light, Range, Thrown"
Tinker's Tools,Tinker's Tools Artisan's tools These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. Weight: 10,Adventuring Gear,Standard,,
Tocken,"Tocken Musical instrument A hanging set of carved oval bells, usually played with a pair of light wooden hammers (or open handed). They are most common in underground cultures, where the resonant tones can carry.",Tool,,,
Tome of Clear Thought,"Tome of Clear Thought Wondrous item, very rare This book contains memory and logic exercises, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book’s contents and practicing its guidelines, your Intelligence score increases by 2, as does your maximum for that score. The manual then loses its magic, but regains it in a century.",Wondrous item,very rare,,
Tome of Leadership and Influence,"Tome of Leadership and Influence Wondrous item, very rare This book contains guidelines for influencing and charming others, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book’s contents and practicing its guidelines, your Charisma score increases by 2, as does your maximum for that score. The manual then loses its magic, but regains it in a century.",Wondrous item,very rare,,
Tome of Strahd,"Tome Of Strahd The Tome of Strahd is an ancient work penned by Strahd, a tragic tale of how he came to his fallen state. The book is bound in a thick leather cover with steel hinges and fastenings. The pages are of parchment and very brittle. Most of the book is written in the curious shorthand that only Strahd employs. Stains and age have made most of the work illegible, but several paragraphs remain intact and readable. If the characters acquire the Tome of Strahd and want to read these paragraphs, show the players the ""From the Tome of Strahd"" section. If Strahd sees, or learns from a minion, that the tome has fallen into the party's possession, all of his other objectives (see chapter 1, ""Into the Mists"") are put on hold until the book is recovered. When Strahd attacks, his preferred target is whoever has the tome. From the Tome of Strahd I am the Ancient. I am the Land. My beginnings are lost in the darkness of the past. I was the warrior, I was good and just. I thundered across the land like the wrath of a just god, but the war years and the killing years wore down my soul as the wind wears stone into sand. All goodness slipped from my life. I found my youth and strength gone, and all I had left was death. My army settled in the valley of Barovia and took power over the people in the name of a just god, but with none of a god’s grace or justice. I called for my family, long unseated from their ancient thrones, and brought them here to settle in the castle Ravenloft. They came with a younger brother of mine, Sergei. He was handsome and youthful. I hated him for both. From the families of the valley, one spirit shone above all others. A rare beauty, who was called “perfection,” “joy,” and “treasure.” Her name was Tatyana, and I longed for her to be mine. I loved her with all my heart. I loved her for her youth. I loved her for her joy. But she spurned me! “Old One” was my name to her—“elder” and “brother” also. Her heart went to Sergei. They were betrothed. The date was set. With words she called me “brother,” but when I looked into her eyes they reflected another name: “death.” It was the death of the aged that she saw in me. She loved her youth and enjoyed it. But I had squandered mine. The death she saw in me turned her from me. And so I came to hate death—my death. My hate is very strong. I would not be called “death” so soon. I made a pact with death, a pact of blood. On the day of the wedding, I killed Sergei, my brother. My pact was sealed with his blood. I found Tatyana weeping in the garden east of the chapel. She fled from me. She would not let me explain, and a great anger swelled within me. She had to understand the pact I made for her. I pursued her. Finally, in despair, she flung herself from the walls of Ravenloft, and I watched everything I ever wanted fall from my grasp forever. It was a thousand feet through the mists. No trace of her was ever found. Not even I know her final fate. Arrows from the castle guards pierced me to my soul, but I did not die. Nor did I live. I became undead, forever. I have studied much since then. “Vampyr” is my new name. I still lust for life and youth, and I curse the living that took them from me. Even the sun is against me. It is the sun and its light I fear the most, but little else can harm me now. Even a stake through my heart does not kill me, though it holds me from movement. But the sword, that cursed sword that Sergei brought! I must dispose of that awful tool! I fear and hate it as much as the sun. I have often hunted for Tatyana. I have even felt her within my grasp, but she escapes. She taunts me! She taunts me! What will it take to bend her love to me? I now reside far below Ravenloft. I live among the dead and sleep beneath the very stones of this hollow castle of despair. I shall seal shut the walls of the stairs that none may disturb me.",,,,
Tome of the Stilled Tongue,"Tome of the Stilled Tongue Wondrous item, legendary (requires attunement by a wizard ) This thick leather-bound volume has a desiccated tongue pinned to the front cover. Five of these tomes exist, and it’s unknown which one is the original. The grisly cover decoration on the first tome of the stilled tongue once belonged to a treacherous former servant of the lich-god Vecna, keeper of secrets. The tongues pinned to the covers of the four copies came from other spellcasters who crossed Vecna. The first few pages of each tome are filled with indecipherable scrawls. The remaining pages are blank and pristine. If you can attune to this item, you can use it as a spellbook and an arcane focus. In addition, while holding the tome, you can use a bonus action to cast a spell you have written in this tome, without expending a spell slot or using any verbal or somatic components. Once used, this property of the tome can’t be used again until the next dawn. While attuned to the book, you can remove the tongue from the book’s cover. If you do so, all spells written in the book are permanently erased. Vecna watches anyone using this tome. He can also write cryptic messages in the book. These messages appear at midnight and fade away after they are read.",Wondrous item,legendary,requires attunement by a wizard,
Tome of Understanding,"Tome of Understanding Wondrous item, very rare This book contains intuition and insight exercises, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book’s contents and practicing its guidelines, your Wisdom score increases by 2, as does your maximum for that score. The manual then loses its magic, but regains it in a century.",Wondrous item,very rare,,
Topaz Annihilator,"Topaz Annihilator Ranged weapon (firearm), legendary (requires attunement) This magic ranged weapon resembles a musket, but in lieu of any ammunition, it holds a glowing yellow scale from a topaz dragon in its heart. The weapon has a normal range of 100 feet and a long range of 300 feet, and it has the two-handed property. It deals 2d6 necrotic damage on a hit. If this damage reduces a creature or object to 0 hit points, the target is reduced to dust. A creature reduced to dust can be restored to life only by a true resurrection or wish spell. While the weapon is on your person, you can use an action to cast the disintegrate spell (save DC 18). Once this property is used, it can't be used again until the next dawn.",Ranged Weapon,legendary,requires attunement,Two-Handed
Topaz Spell Gem,"Topaz Spell Gem Wondrous item, very rare (attunement optional) A spell gem can contain one spell from any class’s spell list. You become aware of the spell when you learn the gem’s properties. While holding the gem, you can cast the spell from it as an action if you know the spell or if the spell is on your class’s spell list. Doing so doesn’t require any components and doesn’t require attunement. The spell then disappears from the gem. If the spell is of a higher level than you can normally cast, you must make an ability check using your Spellcasting Ability to determine whether you cast it successfully. The DC equals 10 + the spell’s level. On a failed check, the spell disappears from the gem with no other effect. This spell gem's maximum level spell it can store is 6th level. The stored spell’s saving throw DC is 17 and its attack bonus is +10. You can imbue the gem with a spell if you’re attuned to it and it’s empty. To do so, you cast the spell while holding the gem. The spell is stored in the gem instead of having any effect. Casting the spell must require either 1 action or 1 minute or longer, and the spell’s level must be no higher than the gem’s maximum. If the spell belongs to the school of abjuration and requires material components that are consumed, you must provide them, but they can be worth half as much as normal. Once imbued with a spell, the gem can’t be imbued again until the next dawn. Deep gnomes created these magic gemstones and keep the creation process a secret.",Wondrous item,Very rare,attunement optional,
Torch,"Torch Adventuring gear A torch burns for 1 hour, providing bright light in a 20-foot radius and dim light for an additional 20 feet. If you make a melee attack with a burning torch and hit, it deals 1 fire damage. Damage: 1 Damage Type: Fire Weight: 1",Adventuring Gear,Standard,,
Torpor,Ingested Poison A creature subjected to Torpor poison must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 4d6 hours. The creature’s Speed is halved while the creature is Poisoned in this way. Cost: 600 GP,Poison,No,,
Torpor (Ingested),"Torpor Adventuring gear (poison, ingested) A creature subjected to this poison must succeed on a DC 15 Constitution saving throw or become poisoned for 4d6 hours. The poisoned creature is incapacitated.",,,,
Traveler's clothes,Traveler's clothes Adventuring gear (clothing) Weight: 4,Adventuring Gear,Standard,,
Traveler's Clothes,Adventuring Gear Weight: 4 lb. Cost: 2 GP Traveler’s Clothes are resilient garments designed for travel in various environments.,Adventuring Gear,None,,
Trebuchet,"Trebuchet Huge object Armor Class : 15 Hit Points : 150 Damage Immunities : poison, psychic A trebuchet is a powerful catapult that throws its payload in a high arc, so it can hit targets behind cover. Before the trebuchet can be fired, it must be loaded and aimed. It takes two actions to load the weapon, two actions to aim it, and one action to fire it. A trebuchet typically hurls a heavy stone. However, it can launch other kinds of projectiles, such as barrels of oil or sewage, with different effects. Trebuchet Stone. Ranged Weapon Attack : +5 to hit, range 300/1,200 ft. (can’t hit targets within 60 feet of it), one target. Hit : 44 (8d10) bludgeoning damage.",,,,
Trident,"Trident Melee weapon (martial, trident) Range. A weapon that can be used to make a ranged attack has a range in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon’s normal range in feet, and the second indicates the weapon’s long range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can’t attack a target beyond the weapon’s long range. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack. Damage: 1d6 (1d8) Damage Type: Piercing Properties: Range, Thrown, Versatile Range: 20/60 Weight: 4",Melee Weapon,,,"Thrown, Versatile"
Trident +1,"Trident +1 Melee weapon (martial, trident), uncommon You have a +1 bonus to attack and damage rolls made with this weapon. Range. A weapon that can be used to make a ranged attack has a range in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon’s normal range in feet, and the second indicates the weapon’s long range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can’t attack a target beyond the weapon’s long range. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack. Damage: 1d6+1 (1d8+1) Damage Type: Piercing Properties: Range, Thrown, Versatile Range: 20/60 Weight: 4",Melee Weapon,,,"Range, Thrown, Versatile"
Trident +2,"Trident +2 Melee weapon (martial, trident), rare You have a +2 bonus to attack and damage rolls made with this weapon. Range. A weapon that can be used to make a ranged attack has a range in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon’s normal range in feet, and the second indicates the weapon’s long range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can’t attack a target beyond the weapon’s long range. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack. Damage: 1d6+2 (1d8+2) Damage Type: Piercing Properties: Range, Thrown, Versatile Range: 20/60 Weight: 4",Weapon,rare,,"Range, Thrown, Versatile"
Trident +3,"Trident +3 Melee weapon (martial, trident), very rare You have a +3 bonus to attack and damage rolls made with this weapon. Range. A weapon that can be used to make a ranged attack has a range in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon’s normal range in feet, and the second indicates the weapon’s long range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can’t attack a target beyond the weapon’s long range. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack. Damage: 1d6+3 (1d8+3) Damage Type: Piercing Properties: Range, Thrown, Versatile Range: 20/60 Weight: 4",Weapon,very rare,,"Range, Thrown, Versatile"
Trident of Agonizing Paralysis,"Weapon (trident), very rare (requires attunement) You have a +3 bonus to attack and damage rolls made with this magic weapon. When this weapon reduces a creature to 0 hit points, the creature doesn’t die. Instead, infernal runes appear as if carved into their flesh and they’re healed to 1 hit point. They now have the paralyzed condition until the condition is removed by a Lesser Restoration spell or similar magic. When the condition is removed, the runes disappear. At the start of each of their turns while they’re paralyzed, the creature suffers immense pain and gains a level of exhaustion.",Weapon (trident),very rare,requires attunement,"Thrown, Versatile"
Trident of Certain Death,"Trident of Certain Death Weapon (trident), rare When you damage a creature with an attack using this magic weapon, the target can’t regain hit points until the start of your next turn. Damage: 1d6 (1d8) Damage Type: Piercing Properties: Range, Thrown, Versatile Range: 20/60 Weight: 4",Melee Weapon,rare,,"Thrown, Versatile"
Trident of Fish Command,"Trident of Fish Command Melee weapon (martial, trident), uncommon (requires attunement ) This trident is a magic weapon. It has 3 charges. While you carry it, you can use an action and expend 1 charge to cast dominate beast (save DC 15) from it on a beast that has an innate swimming speed. The trident regains 1d3 expended charges daily at dawn. Range. A weapon that can be used to make a ranged attack has a range in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon’s normal range in feet, and the second indicates the weapon’s long range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can’t attack a target beyond the weapon’s long range. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack. Damage: 1d6 (1d8) Damage Type: Piercing Properties: Range, Thrown, Versatile Range: 20/60 Weight: 4",Weapon,uncommon,requires attunement,"Range, Thrown, Versatile"
Trident of Throne's Command,"Trident of Throne's Command Melee Weapon (martial, trident), Very Rare (Requires Attunement) This weapon is bedecked in ornate gold filigree and deep-blue and maroon jewels. You gain a +1 bonus to attack and damage rolls made with this weapon. Additionally, you gain proficiency in the Intimidation and Persuasion skills if you don’t already have it. Spellcasting. The weapon has 5 charges. You can use a bonus action and expend 1 or more of its charges to cast one of the following spells (save DC 16): Command (1 charge), Zone of Truth (2 charges), Compulsion (4 charges), Banishment (4 charges), or Dominate Person (5 charges). The weapon regains 1d4 expended charges daily at dawn. Range. A weapon that can be used to make a ranged attack has a range in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon’s normal range in feet, and the second indicates the weapon’s long range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can’t attack a target beyond the weapon’s long range. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack. Damage: 1d6+1 (1d8+1) Damage Type: Piercing Properties: Range, Thrown, Versatile Range: 20/60 Weight: 4",Melee Weapon,Very Rare,requires attunement,"Range, Thrown, Versatile"
Trident of Warning,"Weapon (Trident), Uncommon (Requires Attunement) As long as this weapon is within your reach and you are attuned to it, you and allies within 30 feet of you gain the following benefits. Alarm. The weapon magically awakens each subject who is sleeping naturally when combat begins. This benefit doesn’t wake a subject from magically induced sleep. Supernatural Readiness. Each subject has Advantage on its Initiative rolls.",martial,No,,Versatile
True-Ice Shards Dagger,"Weapons (dagger), artifact (requires attunement) Crafted from the very glacier in which he was imprisoned, the True-Ice Shards are a rapier and parrying dagger (main gauche) pair used by Levistus . They exemplify his time spent in the glacier, augmenting telepathy, divination, and defense. Due to his control over ice, Levistus can conjure the True-Ice Shards from anywhere, including if they were destroyed. You gain a +3 bonus to attack and damage rolls made with the magical rapier and it does 1d8 cold damage instead of its regular damage. When using the magic dagger, you gain a +3 bonus to your AC, as long as it is used as your offhand weapon, and it does 1d6 cold damage instead of its regular damage. Because Levistus conjures the True-Ice Shards at will, he often rewards a copy of the artifact to his most loyal followers. The copies are identical to the original with one exception: Levistus can destroy or retrieve a copy at any time. Random Properties. The True-Ice Shards have the following random properties: 2 major beneficial properties 2 minor detrimental properties 1 major detrimental property Sub-Zero. Cold damage dealt with the shards ignores resistances and immunities. Creatures vulnerable to cold damage take triple damage from the True-Ice Shards , rather than double. After you damage a creature with the shards, you may use a bonus action to force the creature to make a DC 22 Constitution saving throw. On a failed save, the creature that took the damage becomes vulnerable to cold damage for 24 hours. Once you use this feature, you may not use it again until after you have finished a long rest. The Best Defense. As a reaction to being attacked, you use the rapier to increase your defense, adding +3 to your AC until the end of your next turn. If you attack with the rapier before the end of your next turn, you do not have its +3 bonus to attack and damage rolls. Mental Command . While attuned to the True-Ice Shards, you can use an action to cast the Detect Thoughts spell (save DC 20), targeting any creature you have previously met. If the targeted creature is on a different plane of existence, the spell fails. As long as you maintain concentration, you can use a bonus action to send a telepathic message to the focused creature. It can reply—using a bonus action to do so—as long as the focus and concentration continue. Omniscient. You can use the True-Ice Shards to cast a variety of divination spells. Locate Animals or Plants, Locate Creature, and Locate Object may be cast at will, and don’t have a maximum range. Other limitations of the spells still apply, and they can’t detect subjects on other planes of existence. Additionally, you may cast Scrying (with a spell save DC of 20) and Find the Path . Once either spell is cast, you must finish a long rest before casting either of them again. Destroying the Shards. While Levistus still lives, destroying the True-Ice Shards serves little purpose, as he is capable of recreating them at will. That aside, the shards can be destroyed when subjected to a sufficient source of heat. A few such sources include the inside of an active volcano, a continuous source of Hellfire, or a powerful fire spell cast at 9th level.",Weapon (dagger),artifact,requires attunement,"Finesse, Light, Thrown (range 20/60)"
