name,type,subtype,rarity,cost,weight,description,attunement
Vicious Dagger,Weapon,Simple Melee Weapons,Rare,"4,002 gp",1," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious Dart,Weapon,Simple Ranged Weapons,Rare,"501 - 5,000 gp",0.25," Description When you roll a 20 on your attack roll with this magic weapon, your critical hit deals an extra 7 damage of the weapon's type. ",FALSE
Vicious Flail,Weapon,Martial Melee Weapons,Rare,"4,010 gp",2," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious Glaive,Weapon,Martial Weapons,Rare,"501 - 5,000 gp",6," Description When you roll a 20 on your attack roll with this magic weapon, your critical hit deals an extra 7 damage of the weapon's type. ",FALSE
Vicious Greataxe,Weapon,Martial Melee Weapons,Rare,"4,030 gp",7," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious Greatclub,Weapon,Simple Melee Weapons,Rare,"501 - 5,000 gp",10," Description When you roll a 20 on your attack roll with this magic weapon, your critical hit deals an extra 7 damage of the weapon's type. ",FALSE
Vicious Greatsword,Weapon,Martial Melee Weapons,Rare,"4,050 gp",6," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious Halberd,Weapon,Martial Weapons,Rare,"501 - 5,000 gp",6," Description When you roll a 20 on your attack roll with this magic weapon, your critical hit deals an extra 7 damage of the weapon's type. ",FALSE
Vicious Hand Crossbow,Weapon,Martial Ranged Weapons,Rare,"4,075 gp",3," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious Handaxe,Weapon,Simple Melee Weapons,Rare,"4,005 gp",2," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious Heavy Crossbow,Weapon,Martial Ranged Weapons,Rare,"4,050 gp",18," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious Javelin,Weapon,Simple Melee Weapons,Rare,"501 - 5,000 gp",2," Description When you roll a 20 on your attack roll with this magic weapon, your critical hit deals an extra 7 damage of the weapon's type. ",FALSE
Vicious Lance,Weapon,Martial Melee Weapons,Rare,"4,010 gp",6," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious Light Crossbow,Weapon,Simple Ranged Weapons,Rare,"4,025 gp",5," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious Light Hammer,Weapon,Simple Melee Weapons,Rare,"501 - 5,000 gp",2," Description When you roll a 20 on your attack roll with this magic weapon, your critical hit deals an extra 7 damage of the weapon's type. ",FALSE
Vicious Longbow,Weapon,Martial Ranged Weapons,Rare,"4,050 gp",2," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious Longsword,Weapon,Martial Melee Weapons,Rare,"4,015 gp",3," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious Mace,Weapon,Simple Melee Weapons,Rare,"4,005 gp",4," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious Morningstar,Weapon,Martial Weapons,Rare,"501 - 5,000 gp",4," Description When you roll a 20 on your attack roll with this magic weapon, your critical hit deals an extra 7 damage of the weapon's type. ",FALSE
Vicious Net,Weapon,Martial Ranged Weapons,Rare,"501 - 5,000 gp",3," Description When you roll a 20 on your attack roll with this magic weapon, your critical hit deals an extra 7 damage of the weapon's type. Net Notes A Large or smaller creature hit by a net is restrained until it is freed. A net has no effect on creatures that are formless, or creatures that are Huge or larger. A creature can use its action to make a DC 10 Strength check, freeing itself or another creature within its reach on a success. Dealing 5 slashing damage to the net (AC 10) also frees the creature without harming it, ending the effect and destroying the net. When you use an action, bonus action, or reaction to attack with a net, you can make only one attack regardless of the number of attacks you can normally make. ",FALSE
Vicious Pike,Weapon,Martial Melee Weapons,Rare,"4,005 gp",18," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious Psychic Blade,Weapon,Simple Melee Weapons,Rare,"4,000 GP",0," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious Quarterstaff,Weapon,Simple Melee Weapons,Rare,"40,002 sp",4," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious Rapier,Weapon,Martial Weapons,Rare,"501 - 5,000 gp",2," Description When you roll a 20 on your attack roll with this magic weapon, your critical hit deals an extra 7 damage of the weapon's type. ",FALSE
Vicious Scimitar,Weapon,Martial Melee Weapons,Rare,"4,025 gp",3," Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious Shortbow,Weapon,Simple Ranged Weapons,Rare,"501 - 5,000 gp",2," Description When you roll a 20 on your attack roll with this magic weapon, your critical hit deals an extra 7 damage of the weapon's type. ",FALSE
Vicious Shortsword,Weapon,Martial Melee Weapons,Rare,"4,010 gp",2," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious Sickle,Weapon,Simple Melee Weapons,Rare,"4,001 gp",2," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious Sling,Weapon,Simple Ranged Weapons,Rare,"501 - 5,000 gp",0," Description When you roll a 20 on your attack roll with this magic weapon, your critical hit deals an extra 7 damage of the weapon's type. ",FALSE
Vicious Spear,Weapon,Simple Melee Weapons,Rare,"501 - 5,000 gp",3," Description When you roll a 20 on your attack roll with this magic weapon, your critical hit deals an extra 7 damage of the weapon's type. ",FALSE
Vicious Trident,Weapon,Martial Melee Weapons,Rare,"4,005 gp",4," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Vicious War Pick,Weapon,Martial Weapons,Rare,"501 - 5,000 gp",2," Description When you roll a 20 on your attack roll with this magic weapon, your critical hit deals an extra 7 damage of the weapon's type. ",FALSE
Vicious Warhammer,Weapon,Martial Weapons,Rare,"501 - 5,000 gp",2," Description When you roll a 20 on your attack roll with this magic weapon, your critical hit deals an extra 7 damage of the weapon's type. ",FALSE
Vicious Whip,Weapon,Martial Melee Weapons,Rare,"4,002 gp",3," Vicious Weapon Notes Vicious Weapon Weapon (Any Simple or Martial), Rare This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage. ",FALSE
Viol,Tools,Musical Instrument,common,30 GP,1," Ability: Charisma Weight: Varies Utilize: Play a known tune (DC 10), or improvise a song (DC 15) ",FALSE
Viol of Illusion,Wondrous Item,,Common (Requires Attunement),50 - 100 gp,1," Description While you are playing this musical instrument, you can create harmless, illusory visual effects within a 5-foot-radius sphere centered on the instrument. If you are a bard, the radius increases to 15 feet. Sample visual effects include luminous musical notes, a spectral dancer, butterflies, and gently falling snow. The magical effects have neither substance nor sound, and they are obviously illusory. The effects end when you stop playing. ",TRUE
Viol of Scribing,Wondrous Item,,Common (Requires Attunement),50 - 100 gp,1," Description This musical instrument has 3 charges. While you are playing it, you can use an action to expend 1 charge from the instrument and write a magical message on a nonmagical object or surface that you can see within 30 feet of you. The message can be up to six words long and is written in a language you know. If you are a bard, you can scribe an additional seven words and choose to make the message glow faintly, allowing it to be seen in nonmagical darkness. Casting dispel magic on the message erases it. Otherwise, the message fades away after 24 hours. The instrument regains all expended charges daily at dawn. ",TRUE
"Vorpal Glaive, +3",Weapon,Martial Melee Weapons,Legendary (Requires Attunement),"200,020 gp",6," Vorpal Sword Notes Vorpal Sword Weapon (Glaive, Greatsword, Longsword, or Scimitar), Legendary (Requires Attunement) You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon. In addition, the weapon ignores Resistance to Slashing damage. When you use this weapon to attack a creature that has at least one head and roll a 20 on the d20 for the attack roll, you cut off one of the creature's heads. The creature dies if it can't survive without the lost head. A creature is immune to this effect if it has Immunity to Slashing damage, if it doesn't have or need a head, or if the DM decides that the creature is too big for its head to be cut off with this weapon. Such a creature instead takes an extra 30 Slashing damage from the hit. If the creature has Legendary Resistance, it can expend one daily use of that trait to avoid losing its head, taking the extra damage instead. ",TRUE
"Vorpal Greatsword, +3",Weapon,Martial Melee Weapons,Legendary (Requires Attunement),"200,050 gp",6," Vorpal Sword Notes Vorpal Sword Weapon (Glaive, Greatsword, Longsword, or Scimitar), Legendary (Requires Attunement) You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon. In addition, the weapon ignores Resistance to Slashing damage. When you use this weapon to attack a creature that has at least one head and roll a 20 on the d20 for the attack roll, you cut off one of the creature's heads. The creature dies if it can't survive without the lost head. A creature is immune to this effect if it has Immunity to Slashing damage, if it doesn't have or need a head, or if the DM decides that the creature is too big for its head to be cut off with this weapon. Such a creature instead takes an extra 30 Slashing damage from the hit. If the creature has Legendary Resistance, it can expend one daily use of that trait to avoid losing its head, taking the extra damage instead. ",TRUE
"Vorpal Longsword, +3",Weapon,Martial Melee Weapons,Legendary (Requires Attunement),"200,015 gp",3," Vorpal Sword Notes Vorpal Sword Weapon (Glaive, Greatsword, Longsword, or Scimitar), Legendary (Requires Attunement) You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon. In addition, the weapon ignores Resistance to Slashing damage. When you use this weapon to attack a creature that has at least one head and roll a 20 on the d20 for the attack roll, you cut off one of the creature's heads. The creature dies if it can't survive without the lost head. A creature is immune to this effect if it has Immunity to Slashing damage, if it doesn't have or need a head, or if the DM decides that the creature is too big for its head to be cut off with this weapon. Such a creature instead takes an extra 30 Slashing damage from the hit. If the creature has Legendary Resistance, it can expend one daily use of that trait to avoid losing its head, taking the extra damage instead. ",TRUE
"Vorpal Scimitar, +3",Weapon,Martial Melee Weapons,Legendary (Requires Attunement),"200,025 gp",3," Vorpal Sword Weapon (Glaive, Greatsword, Longsword, or Scimitar), Legendary (Requires Attunement) You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon. In addition, the weapon ignores Resistance to Slashing damage. When you use this weapon to attack a creature that has at least one head and roll a 20 on the d20 for the attack roll, you cut off one of the creature's heads. The creature dies if it can't survive without the lost head. A creature is immune to this effect if it has Immunity to Slashing damage, if it doesn't have or need a head, or if the DM decides that the creature is too big for its head to be cut off with this weapon. Such a creature instead takes an extra 30 Slashing damage from the hit. If the creature has Legendary Resistance, it can expend one daily use of that trait to avoid losing its head, taking the extra damage instead. ",TRUE
Wagon,"Tack, Harness, And Drawn Vehicles",Drawn Vehicles,,35 gp,400, ,FALSE
Walloping Arrow,Weapon,Ammunition,Common,50 - 100 gp,0.05, Description This ammunition packs a wallop. A creature hit by the ammunition must succeed on a DC 10 Strength saving throw or be knocked prone. ,FALSE
Walloping Arrows (20),Weapon,Ammunition,Common,50 - 100 gp,1, Description This ammunition packs a wallop. A creature hit by the ammunition must succeed on a DC 10 Strength saving throw or be knocked prone. ,FALSE
Walloping Crossbow Bolt,Weapon,Ammunition,Common,50 - 100 gp,0.025, Description This ammunition packs a wallop. A creature hit by the ammunition must succeed on a DC 10 Strength saving throw or be knocked prone. ,FALSE
Walloping Crossbow Bolts (20),Weapon,Ammunition,Common,50 - 100 gp,1.5, Description This ammunition packs a wallop. A creature hit by the ammunition must succeed on a DC 10 Strength saving throw or be knocked prone. ,FALSE
Walloping Sling Bullet (5),Weapon,Ammunition,Common,50 - 100 gp,0.025, Description This ammunition packs a wallop. A creature hit by the ammunition must succeed on a DC 10 Strength saving throw or be knocked prone. ,FALSE
Walloping Sling Bullets (20),Weapon,Ammunition,Common,50 - 100 gp,1.5, Description This ammunition packs a wallop. A creature hit by the ammunition must succeed on a DC 10 Strength saving throw or be knocked prone. ,FALSE
Wand,Adventuring Gear,Arcane Focus,,10 gp,1," An arcane focus is a special item-an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item-designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10. ",FALSE
Wand of Binding,Wand,,Rare (Requires Attunement),"4,000 GP",0," Wand of Binding Wand, Rare (Requires Attunement) This wand has 7 charges. Spells. While holding the wand, you can cast one of the spells (save DC 17) on the following table from it. The table indicates how many charges you must expend to cast the spell. Regaining Charges. The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last charge, roll 1d20. On a 1, the wand crumbles into ashes and is destroyed. ",TRUE
Wand of Conducting,Wand,,Common,50 - 100 gp,1," Description This wand has 3 charges. While holding it, you can use an action to expend 1 of its charges and create orchestral music by waving it around. The music can be heard out to a range of 60 feet and ends when you stop waving the wand. The wand regains all expended charges daily at dawn. If you expend the wand's last charge, roll a d20. On a 1, a sad tuba sound plays as the wand crumbles to dust and is destroyed. Wand Notes An arcane focus is a special item-an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item-designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10. ",FALSE
Wand of Enemy Detection,Wand,,Rare (Requires Attunement),"501 - 5,000 gp",1," Description This wand has 7 charges. While holding it, you can use an action and expend 1 charge to speak its command word. For the next minute, you know the direction of the nearest creature hostile to you within 60 feet, but not its distance from you. The wand can sense the presence of hostile creatures that are ethereal, invisible, disguised, or hidden, as well as those in plain sight. The effect ends if you stop holding the wand. The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last charge, roll a d20. On a 1, the wand crumbles into ashes and is destroyed. Wand Notes An arcane focus is a special item-an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item-designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10. ",TRUE
Wand of Fear,Wand,,Rare (Requires Attunement),"501 - 5,000 gp",1," Description This wand has 7 charges for the following properties. It regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last charge, roll a d20. On a 1, the wand crumbles into ashes and is destroyed. Command. While holding the wand, you can use an action to expend 1 charge and command another creature to flee or grovel, as with the command spell (save DC 15). Cone of Fear. While holding the wand, you can use an action to expend 2 charges, causing the wand's tip to emit a 60-foot cone of amber light. Each creature in the cone must succeed on a DC 15 Wisdom saving throw or become frightened of you for 1 minute. While it is frightened in this way, a creature must spend its turns trying to move as far away from you as it can, and it can't willingly move to a space within 30 feet of you. It also can't take reactions. For its action, it can use only the Dash action or try to escape from an effect that prevents it from moving. If it has nowhere it can move, the creature can use the Dodge action. At the end of each of its turns, a creature can repeat the saving throw, ending the effect on itself on a success. Wand Notes An arcane focus is a special item-an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item-designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10. ",TRUE
Wand of Fireballs,Wand,,Rare (Requires Attunement By A Spellcaster),"501 - 5,000 gp",1," Description This wand has 7 charges. While holding it, you can use an action to expend 1 or more of its charges to cast the fireball spell (save DC 15) from it. For 1 charge, you cast the 3rd-level version of the spell. You can increase the spell slot level by one for each additional charge you expend. The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last charge, roll a d20. On a 1, the wand crumbles into ashes and is destroyed. Wand Notes An arcane focus is a special item-an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item-designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10. ",TRUE
Wand of Lightning Bolts,Wand,,Rare (Requires Attunement By A Spellcaster),"501 - 5,000 gp",1," Description This wand has 7 charges. While holding it, you can use an action to expend 1 or more of its charges to cast the lightning bolt spell (save DC 15) from it. For 1 charge, you cast the 3rd-level version of the spell. You can increase the spell slot level by one for each additional charge you expend. The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last charge, roll a d20. On a 1, the wand crumbles into ashes and is destroyed. Wand Notes An arcane focus is a special item-an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item-designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10. ",TRUE
Wand of Magic Detection,Wand,,Uncommon,400 GP,0," Wand of Magic Detection Wand, Uncommon This wand has 3 charges. While holding it, you can expend 1 charge to cast Detect Magic from it. The wand regains 1d3 expended charges daily at dawn. ",FALSE
Wand of Magic Missiles,Wand,,Uncommon,400 GP,0," Wand of Magic Missiles Wand, Uncommon This wand has 7 charges. While holding it, you can expend no more than 3 charges to cast Magic Missile from it. For 1 charge, you cast the level 1 version of the spell. You can increase the spell's level by 1 for each additional charge you expend. Regaining Charges. The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last charge, roll 1d20. On a 1, the wand crumbles into ashes and is destroyed. ",FALSE
Wand of Orcus,Wand,,Artifact (Requires Attunement),"50,001 - 100,000 gp",1," Description The ghastly Wand of Orcus rarely leaves Orcus's side. The device, as evil as its creator, shares the demon lord's aims to snuff out the lives of all living things and bind the Material Plane in the stasis of undeath. Orcus allows the wand to slip from his grasp from time to time. When it does, it magically appears wherever its master senses an opportunity to achieve some fell goal. Made from bones as hard as iron, the wand is topped with a magically enlarged skull that once belonged to a human hero slain by Orcus. The wand can magically change in size to better conform to the grip of its user. Plants wither, drinks spoil, flesh rots, and vermin thrive in the wand's presence. Any creature besides Orcus that tries to attune to the wand must make a DC 17 Constitution saving throw. On a successful save, the creature takes 10d6 necrotic damage. On a failed save, the creature dies and rises as a zombie. In the hands of one who is attuned to it, the wand can be wielded as a magic mace that grants a +3 bonus to attack and damage rolls made with it. The wand deals an extra 2d12 necrotic damage on a hit. Random Properties. The Wand of Orcus has the following random properties: The detrimental properties of the Wand of Orcus are suppressed while the wand is attuned to Orcus himself. Protection. You gain a +3 bonus to Armor Class while holding the wand. Spells. The wand has 7 charges. While holding it, you can use an action and expend 1 or more of its charges to cast one of the following spells (save DC 18) from it: animate dead (1 charge), blight (2 charges), circle of death (3 charges), finger of death (3 charges), power word kill (4 charges), or speak with dead (1 charge). The wand regains 1d4 + 3 expended charges daily at dawn. While attuned to the wand, Orcus or a follower blessed by him can cast each of the wand's spells using 2 fewer charges (minimum of 0). Call Undead. While you are holding the wand, you can use an action to conjure skeletons and zombies, calling forth as many of them as you can divide 500 hit points among, each undead having average hit points (see the Monster Manual for statistics). The undead magically rise up from the ground or otherwise form in unoccupied spaces within 300 feet of you and obey your commands until they are destroyed or until dawn of the next day, when they collapse into inanimate piles of bones and rotting corpses. Once you use this property of the wand, you can't use it again until the next dawn. While attuned to the wand, Orcus can summon any kind of undead, not just skeletons and zombies. The undead don't perish or disappear at dawn the following day, remaining until Orcus dismisses them. Sentience. The Wand of Orcus is a sentient, chaotic evil item with an Intelligence of 16, a Wisdom of 12, and a Charisma of 16. It has hearing and darkvision out to a range of 120 feet. The wand communicates telepathically with its wielder and can speak, read, and understand Abyssal and Common. Personality. The wand's purpose is to help satisfy Orcus's desire to slay everything in the multiverse. The wand is cold, cruel, nihilistic, and bereft of humor. In order to further its master's goals, the wand feigns devotion to its current user and makes grandiose promises that it has no intention of fulfilling, such as vowing to help its user overthrow Orcus. Destroying the Wand. Destroying the Wand of Orcus requires that it be taken to the Positive Energy Plane by the ancient hero whose skull surmounts it. For this to happen, the long-lost hero must first be restored to life- no easy task, given the fact that Orcus has imprisoned the hero's soul and keeps it hidden and well guarded. Bathing the wand in positive energy causes it to crack and explode, but unless the above conditions are met, the wand instantly reforms on Orcus's layer of the Abyss. Wand Notes An arcane focus is a special item-an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item-designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10. ",TRUE
Wand of Paralysis,Wand,,Rare (Requires Attunement by a Spellcaster),"4,000 GP",0," Wand of Paralysis Wand, Rare (Requires Attunement by a Spellcaster) This wand has 7 charges. While holding it, you can take a Magic action to expend 1 charge to cause a thin blue ray to streak from the tip toward a creature you can see within 60 feet of yourself. The target must succeed on a DC 15 Constitution saving throw or have the Paralyzed condition for 1 minute. At the end of each of the target's turns, it repeats the save, ending the effect on itself on a success. Regaining Charges. The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last charge, roll 1d20. On a 1, the wand crumbles into ashes and is destroyed. ",TRUE
Wand of Polymorph,Wand,,Very Rare (Requires Attunement By A Spellcaster),"5,001 - 50,000 gp",1," Description This wand has 7 charges. While holding it, you can use an action to expend 1 of its charges to cast the polymorph spell (save DC 15) from it. The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last charge, roll a d20. On a 1, the wand crumbles into ashes and is destroyed. Wand Notes An arcane focus is a special item-an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item-designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10. ",TRUE
Wand of Pyrotechnics,Wand,,Common,50 - 100 gp,1," Description This wand has 7 charges. While holding it, you can use an action to expend 1 of its charges and create a harmless burst of multicolored light at a point you can see up to 60 feet away. The burst of light is accompanied by a crackling noise that can be heard up to 300 feet away. The light is as bright as a torch flame but lasts only a second. The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last charge, roll a d20. On a 1, the wand erupts in a harmless pyrotechnic display and is destroyed. Wand Notes An arcane focus is a special item-an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item-designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10. ",FALSE
Wand of Scowls,Wand,,Common,50 - 100 gp,1," Description This wand has 3 charges. While holding it, you can use an action to expend 1 of its charges and target a humanoid you can see within 30 feet of you. The target must succeed on a DC 10 Charisma saving throw or be forced to scowl for 1 minute. The wand regains all expended charges daily at dawn. If you expend the wand's last charge, roll a d20. On a 1, the wand transforms into a wand of smiles. Wand Notes An arcane focus is a special item-an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item-designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10. ",FALSE
Wand of Secrets,Wand,,Uncommon,101 - 500 gp,1," Description The wand has 3 charges. While holding it, you can use an action to expend 1 of its charges, and if a secret door or trap is within 30 feet of you, the wand pulses and points at the one nearest to you. The wand regains 1d3 expended charges daily at dawn. Wand Notes An arcane focus is a special item-an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item-designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10. ",FALSE
Wand of Smiles,Wand,,Common,50 - 100 gp,1," Description This wand has 3 charges. While holding it, you can use an action to expend 1 of its charges and target a humanoid you can see within 30 feet of you. The target must succeed on a DC 10 Charisma saving throw or be forced to smile for 1 minute. The wand regains all expended charges daily at dawn. If you expend the wand's last charge, roll a d20. On a 1, the wand transforms into a wand of scowls. Wand Notes An arcane focus is a special item-an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item-designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10. ",FALSE
"Wand of the War Mage, +1",Wand,,Uncommon (Requires Attunement by a Spellcaster),400 GP,0," Wand of the War Mage, +1 Wand, Uncommon (Requires Attunement by a Spellcaster) While holding this wand, you gain a +1 bonus to spell attack rolls. In addition, you ignore Half Cover when making a spell attack roll. ",TRUE
"Wand of the War Mage, +2",Wand,,Rare (Requires Attunement By A Spellcaster),"501 - 5,000 gp",1," Description While holding this wand, you gain a bonus to spell attack rolls determined by the wand's rarity. In addition, you ignore half cover when making a spell attack. Wand Notes An arcane focus is a special item-an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item-designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10. ",TRUE
"Wand of the War Mage, +3",Wand,,Very Rare (Requires Attunement by a Spellcaster),"40,000 GP",0," Wand of the War Mage, +3 Wand, Very Rare (Requires Attunement by a Spellcaster) While holding this wand, you gain a +3 bonus to spell attack rolls. In addition, you ignore Half Cover when making a spell attack roll. ",TRUE
Wand of Web,Wand,,Uncommon (Requires Attunement By A Spellcaster),101 - 500 gp,1," Description This wand has 7 charges. While holding it, you can use an action to expend 1 of its charges to cast the web spell (save DC 15) from it. The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last charge, roll a d20. On a 1, the wand crumbles into ashes and is destroyed. Wand Notes An arcane focus is a special item-an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item-designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10. ",TRUE
